time from start [sec],azimuth [deg],elevation [deg]
0.000000,45.000000,45.000000
0.100000,45.000000,45.000000
0.200000,45.000000,45.000000
0.300000,45.000000,45.000000
0.400000,45.000000,45.000000
0.500000,45.000000,45.000000
0.600000,45.000000,45.000000
0.700000,45.000000,45.000000
0.800000,45.000000,45.000000
0.900000,45.000000,45.000000
1.000000,45.000000,45.000000
1.100000,45.000000,45.000000
1.200000,45.000000,45.000000
1.300000,45.000000,45.000000
1.400000,45.000000,45.000000
1.500000,45.000000,45.000000
1.600000,45.000000,45.000000
1.700000,45.000000,45.000000
1.800000,45.000000,45.000000
1.900000,45.000000,45.000000
2.000000,45.000000,45.000000
2.100000,45.000000,45.000000
2.200000,45.000000,45.000000
2.300000,45.000000,45.000000
2.400000,45.000000,45.000000
2.500000,45.000000,45.000000
2.600000,45.000000,45.000000
2.700000,45.000000,45.000000
2.800000,45.000000,45.000000
2.900000,45.000000,45.000000
3.000000,45.000000,45.000000
3.100000,45.000000,45.000000
3.200000,45.000000,45.000000
3.300000,45.000000,45.000000
3.400000,45.000000,45.000000
3.500000,45.000000,45.000000
3.600000,45.000000,45.000000
3.700000,45.000000,45.000000
3.800000,45.000000,45.000000
3.900000,45.000000,45.000000
4.000000,45.000000,45.000000
4.100000,45.000000,45.000000
4.200000,45.000000,45.000000
4.300000,45.000000,45.000000
4.400000,45.000000,45.000000
4.500000,45.000000,45.000000
4.600000,45.000000,45.000000
4.700000,45.000000,45.000000
4.800000,45.000000,45.000000
4.900000,45.000000,45.000000
5.000000,45.000000,45.000000
5.100000,45.000000,45.000000
5.200000,45.000000,45.000000
5.300000,45.000000,45.000000
5.400000,45.000000,45.000000
5.500000,45.000000,45.000000
5.600000,45.000000,45.000000
5.700000,45.000000,45.000000
5.800000,45.000000,45.000000
5.900000,45.000000,45.000000
6.000000,45.000000,45.000000
6.100000,45.000000,45.000000
6.200000,45.000000,45.000000
6.300000,45.000000,45.000000
6.400000,45.000000,45.000000
6.500000,45.000000,45.000000
6.600000,45.000000,45.000000
